,POS,PLAYER,Team,Runs,MAT,INNS,NO,HS,AVG
0,1,Sai Sudharsan,GT,759,15,15,1,108*,54.21
1,2,Surya Kumar Yadav,MI,717,16,16,5,73*,65.18
2,3,Virat Kohli,RCB,657,15,15,3,73*,54.75
3,4,Shubman Gill,GT,650,15,15,2,93*,50.00
4,5,Mitchell Marsh,LSG,627,13,13,0,117,48.23
5,6,Shreyas Iyer,PBKS,604,17,17,5,97*,50.33
6,7,Yashasvi Jaiswal,RR,559,14,14,1,75,43.00
7,8,Prabhsimran Singh,PBKS,549,17,17,0,91,32.29
8,9,K L Rahul,DC,539,13,13,3,112*,53.90
9,10,Jos Buttler,GT,538,14,13,4,97*,59.78
10,11,Nicholas Pooran,LSG,524,14,14,2,87*,43.67
11,12,Heinrich Klaasen,SRH,487,13,13,2,105*,44.27
12,13,Priyansh Arya,PBKS,475,17,17,0,103,27.94
13,14,Aiden Markram,LSG,445,13,13,0,66,34.23
14,15,Abhishek Sharma,SRH,439,14,13,0,141,33.77
15,16,Rohit Sharma,MI,418,15,15,1,81,29.86
16,17,Phil Salt,RCB,403,13,13,1,65,33.58
17,18,Riyan Parag,RR,393,14,14,2,95,32.75
18,19,Ajinkya Rahane,KKR,390,13,12,1,61,35.45
19,20,Ryan Rickelton,MI,388,14,14,1,62*,29.85
20,21,Travis Head,SRH,374,13,12,0,76,31.17
21,22,Nehal Wadhera,PBKS,369,16,15,3,70,30.75
22,23,Shivam Dube,CSK,357,14,14,3,50,32.45
23,24,Ishan Kishan,SRH,354,14,13,3,106*,35.40
24,25,Shashank Singh,PBKS,350,17,14,7,61*,50.00
25,26,N Tilak Varma,MI,343,16,13,2,59,31.18
26,27,Dhruv Jurel,RR,333,14,13,4,70,37.00
27,28,Ayush Badoni,LSG,329,14,11,1,74,32.90
28,29,Rajat Patidar,RCB,312,15,14,1,64,24.00
29,30,Abishek Porel,DC,301,13,13,1,51,25.08
30,31,Ravindra Jadeja,CSK,301,14,14,5,77*,33.44
31,32,Tristan Stubbs,DC,300,14,13,7,41*,50.00
32,33,Angkrish Raghuvanshi,KKR,300,12,11,2,50,33.33
33,34,Sherfane Rutherford,GT,291,13,11,2,46,32.33
34,35,Sanju Samson,RR,285,9,9,1,66,35.63
35,36,Josh Inglis,PBKS,278,11,11,2,73,30.89
36,37,Rishabh Pant,LSG,269,14,13,2,118*,24.45
37,38,Axar Patel,DC,263,12,11,1,43,26.30
38,39,Jitesh Sharma,RCB,261,15,11,4,85*,37.29
39,40,Vaibhav Suryavanshi,RR,252,7,7,0,101,36.00
40,41,Naman Dhir,MI,252,16,12,4,46,31.50
41,42,Devdutt Padikkal,RCB,247,10,10,1,61,27.44
42,43,Sunil Narine,KKR,246,12,12,1,44,22.36
43,44,Ayush Mhatre,CSK,240,7,7,0,94,34.29
44,45,Shimron Hetmyer,RR,239,14,13,2,52,21.73
45,46,Aniket Verma,SRH,236,14,12,3,74,26.22
46,47,Will Jacks,MI,233,13,11,1,53,23.30
47,48,Dewald Brevis,CSK,225,6,6,0,57,37.50
48,49,Hardik Pandya,MI,224,15,12,3,48*,24.89
49,50,Nitish Rana,RR,217,11,11,1,81,21.70
50,51,Rinku Singh,KKR,206,13,11,4,38*,29.43
51,52,Ashutosh Sharma,DC,204,13,9,2,66*,29.14
52,53,Faf Du Plessis,DC,202,9,9,0,62,22.44
53,54,Karun Nair,DC,198,8,8,0,89,24.75
54,55,MS Dhoni,CSK,196,14,13,5,30*,24.50
55,56,Rachin Ravindra,CSK,191,8,8,1,65*,27.29
56,57,Tim David,RCB,187,12,9,6,50*,62.33
57,58,Nitish Kumar Reddy,SRH,182,13,11,3,32,22.75
58,59,Shahrukh Khan,GT,179,15,11,5,57,29.83
59,60,Andre Russell,KKR,167,13,10,1,57*,18.56
60,61,Abdul Samad,LSG,164,13,12,4,45,20.50
61,62,Marcus Stoinis,PBKS,160,13,11,5,44*,26.67
62,63,Devon Conway,CSK,156,6,6,0,69,26.00
63,64,David Miller,LSG,153,11,11,6,27*,30.60
64,65,Quinton De Kock,KKR,152,8,8,1,97*,21.71
65,66,Vipraj Nigam,DC,142,14,8,1,39,20.29
66,67,Venkatesh Iyer,KKR,142,11,7,0,60,20.29
67,68,Washington Sundar,GT,133,6,5,0,49,26.60
68,69,Ruturaj Gaikwad,CSK,122,5,5,0,63,24.40
69,70,Sameer Rizvi,DC,121,5,4,1,58*,40.33
70,71,Vijay Shankar,CSK,118,6,5,2,69*,39.33
71,72,Sam Curran,CSK,114,5,5,0,88,22.80
72,73,Liam Livingstone,RCB,112,10,8,1,54,16.00
73,74,Krunal Pandya,RCB,109,15,7,1,73*,18.17
74,75,Shubham Dubey,RR,106,9,8,4,34*,26.50
75,76,Rahul Tewatia,GT,99,15,12,4,24*,12.38
76,77,Pat Cummins,SRH,97,14,9,5,22*,24.25
77,78,Mayank Agarwal,RCB,95,4,4,1,41*,31.67
78,79,Manish Pandey,KKR,92,3,3,1,37,46.00
79,80,Kamindu Mendis,SRH,92,5,5,2,32*,30.67
80,81,Jonny Bairstow,MI,85,2,2,0,47,42.50
81,82,Marco Jansen,PBKS,75,14,8,4,34*,18.75
82,83,Rahmanullah Gurbaz,KKR,74,5,5,1,35,18.50
83,84,Shaik Rasheed,CSK,71,5,5,0,27,14.20
84,85,Romario Shepherd,RCB,70,8,3,1,53*,35.00
85,86,Urvil Patel,CSK,68,3,3,0,37,22.67
86,87,Jacob Bethell,RCB,67,2,2,0,55,33.50
87,88,Jofra Archer,RR,63,12,7,1,30,10.50
88,89,Abhinav Manohar,SRH,61,8,5,0,43,12.20
89,90,Azmatullah Omarzai,PBKS,57,9,5,1,21*,14.25
90,91,Harshit Rana,KKR,57,13,7,3,34,14.25
91,92,Jake Fraser - McGurk,DC,55,6,6,0,38,9.17
92,93,Rahul Tripathi,CSK,55,5,5,0,23,11.00
93,94,Glenn Maxwell,PBKS,48,7,6,0,30,8.00
94,95,Corbin Bosch,MI,47,2,2,0,27,23.50
95,96,Ramandeep Singh,KKR,47,11,7,2,22,9.40
96,97,Rashid Khan,GT,40,15,8,3,12,8.00
97,98,Mitchell Santner,MI,40,13,8,6,18*,20.00
98,99,Deepak Chahar,MI,37,14,4,3,28*,37.00
99,100,Ravichandran Ashwin,CSK,33,9,4,0,13,8.25
100,101,Deepak Hooda,CSK,31,7,5,0,22,6.20
101,102,Mohd Arshad Khan,GT,23,9,5,3,20,11.50
102,103,Sediqullah Atal,DC,22,1,1,0,22,22.00
103,104,Avesh Khan,LSG,21,13,4,3,19*,21.00
104,105,Harshal Patel,SRH,21,13,4,2,12*,10.50
105,106,Kusal Mendis,GT,20,1,1,0,20,20.00
106,107,Shardul Thakur,LSG,18,10,5,2,6,6.00
